source,category,action,destination,note
/college/illini/raiders-stadium-to-host-sec-big-ten-at-mitsubishi-motors-las-vegas-bowl,misc,review,,manual review — does not match WP-style pattern
/college/illini/the-five-most-important-players-for-the-illinois-fighting-illini-in-2018,misc,review,,manual review — does not match WP-style pattern
/college/illini/the-illinois-fighting-illini-fall-to-ohio-state-at-the-united-center,misc,review,,manual review — does not match WP-style pattern
/college/illinois-sport-gambling-has-a-big-flaw,misc,review,,manual review — does not match WP-style pattern
/college/jalen-coleman-lands-makes-his-depaul-blue-demons-debut,misc,review,,manual review — does not match WP-style pattern
/college/northern-illinois-contines-to-search-for-offense-in-loss-to-utah,misc,review,,manual review — does not match WP-style pattern
/college/northern-illinois-sutton-smith-to-the-enter-2019-nfl-draft,misc,review,,manual review — does not match WP-style pattern
/college/northwestern,misc,review,,manual review — does not match WP-style pattern
/college/northwestern-can-change-their-national-reputation-with-two-wins,misc,review,,manual review — does not match WP-style pattern
/college/northwestern/15-thoughts-on-northwesterns-tough-loss-to-ohio-state-in-the-big-ten-championship-game,misc,review,,manual review — does not match WP-style pattern
/college/northwestern/2018-northwestern-wildcats-football-preview,misc,review,,manual review — does not match WP-style pattern
/college/northwestern/heartbroken-northwestern-womens-basketball-team-honors-player-committed-suicide,misc,review,,manual review — does not match WP-style pattern
/college/northwestern/how-does-northwestern-replace-running-back-jeremy-larkin,misc,review,,manual review — does not match WP-style pattern
/college/northwestern/its-a-new-day-for-northwestern-basketball-at-welsh-ryan-arena,misc,review,,manual review — does not match WP-style pattern
/college/northwestern/pat-fitzgerald-fired-completing-fastest-fall-from-grace-in-chicagoland-history,misc,review,,manual review — does not match WP-style pattern
/college/northwestern/the-five-most-important-players-for-northwestern-in-2018,misc,review,,manual review — does not match WP-style pattern
/college/northwestern/the-northwestern-wildcats-announce-future-non-conference-football-opponents,misc,review,,manual review — does not match WP-style pattern
/college/northwestern/the-northwestern-wildcats-are-ready-to-kickoff-the-season,misc,review,,manual review — does not match WP-style pattern
/college/northwestern/wildcats-overcome-a-slow-start-to-win-opener-against-new-orleans,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/2021-1-apb-announces-his-commitment,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/4-star-nd-2021-commit-addresses-flip-watch-rumor,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/a-sit-down-with-2021-notre-dame-dt-commit-gabriel-rubio,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/all-eyes-on-the-irish,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/basketball-school-notre-dame-position-acc-title-high-tournament-seed,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/big-game-blues-for-nd,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/big-shoes-to-fill-for-notre-dame,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/book-isnt-the-problem-heres-why,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/bowl-game-bubble-probably-burst-for-nd-but-what-if,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/breaking-brian-kelly-announces-new-offensive-coordinators,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/breaking-notre-dame-navy-will-not-kick-off-in-dublin,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/brian-kelly-gives-bold-statement-on-sports-center,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/brian-kellys-the-herd-interview-resonates-with-us-all,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/by-the-numbers-notre-dame-versus-iowa-state,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/camping-world-bowl-lose-lose-situation-for-nd,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/chicagos-top-heisman-trophy-candidates-for-the-2018-season,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/chills-irish-recruiting-announcements-hit-home,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/clear-favorite-for-nd-head-coach-off-the-market,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/cross-roads-for-brian-kelly,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/emerging-star-for-notre-dame,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/ex-nd-star-quenton-nelson-venmos-fans-for-fun,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/ex-notre-dame-commit-flips-to-university-of-michigan,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/five-potential-transfer-destinations-for-notre-dames-brandon-wimbush,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/four-star-wr-decommits-from-2021-class,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/future-fighting-irish-rb-killing-it-at-under-armor-skills-challenge,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/future-irish-qb-recruiting-5-star-wr-to-commit-to-notre-dame-football,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/game-of-inches-nd-vs-mich-vs-weather,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/hoos-your-daddy-virginia,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/impact-of-michael-young-jr-transfer-three-possible-landing-spots,misc,review,,manual review — does not match WP-style pattern
